,Sno.,State Name,District Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:18-30yrs,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
167,168.0,GUJARAT,VADODARA,111828,106350,13799,28623,63928,13469,18644,13391,18546,16079,9491,13787,31,57,7763,178713,534,14970,1194,31010,242,74836,224693,5,9,313,195,314,196,1921942,6243,31387,23887,7500,28222487,17521,12696,4825,2136,9339,51406,71014,10979,10577,9453,5767,9784,43274,3100,0,200654,,,,,,871,1153,888,1095,1178,877,1852,972,3326,6014,5129,1692,1608,2118,1542,1643,1669,1306,2282,1122,3631,6780,6748,2210,814,1092,806,963,986,757,1233,845,2205,3808,3610,1400,18712,25327,16585,13391,12621,9398,12593,9119,18284,36429,37978,14256
168,169.0,GUJARAT,VALSAD,186900,185276,4313,159436,21527,18174,29584,18055,29312,11524,15443,24414,41,6,2338,50295,106,3864,12999,448011,36,290694,502170,1,37,852,541,852,541,4877,5559,65470,61799,3671,72006280,32521,19998,12523,8555830,16662,74922,51526,53561,54482,52941,43211,46181,104473,3200,1011,467253,,,,,,5285,10178,7983,1304,973,1619,1506,1765,1826,2258,3417,2724,7184,14618,11967,1997,1521,2840,2647,2887,2838,3235,4870,4142,4365,8769,6777,822,792,1365,1325,1469,1460,1864,2762,968,58375,183641,104609,9886,10400,17134,18466,15950,16642,24272,35197,7598
169,170.0,HARYANA,AMBALA,25573,25568,13715,1,11852,5641,7174,5638,7170,961,4856,6089,36,5,2114,58435,2742,67078,0,0,171,53935,125513,21,0,359,174,359,175,843068,3174,26753,26703,50,34997065,522,522,0,115834,8729,19341,19684,13763,14571,9807,8988,7533,19487,3300,310,106640,,,,,,1179,1850,2204,1060,230,345,343,592,1207,1163,859,891,1400,2264,2861,1343,278,387,405,708,1475,1412,1011,1055,1021,1588,1724,836,141,253,246,378,1013,965,642,625,12297,19197,24413,8828,1248,3625,3321,5217,17169,14826,8572,6800
170,171.0,HARYANA,BHIWANI,85607,85567,34664,1,50902,38300,57262,38264,57208,11915,32497,46204,141,23,16964,462903,15533,416374,0,0,49,403120,879277,56,0,2131,645,2140,646,3532521,2162,97528,94946,2582,206795449,7905,7294,611,481223,48510,130263,146611,108219,95203,83222,64488,57537,131091,13500,633,762105,,,,,,3368,10134,15119,13020,10970,8954,5448,2625,3063,4358,6090,14560,4664,14299,21082,18161,15014,11751,7174,3488,4018,5677,7936,20068,2126,8043,12331,9312,7905,6241,3824,2065,2190,3118,4563,10425,22714,95845,147133,114743,101604,78902,45903,22305,21915,34465,54100,139648
171,172.0,HARYANA,FARIDABAD,3309,3268,1172,0,2096,1298,1415,1296,1413,860,1263,1369,81,0,758,35881,505,17680,0,0,92,19823,53561,5,0,160,95,161,99,549,249,3527,3511,16,14250393,0,0,0,0,944,2964,4326,4553,9124,9932,3926,2303,7389,8100,0,50868,,,,,,329,335,496,165,135,208,377,242,291,384,313,281,367,358,526,194,142,217,410,265,304,399,318,298,300,335,471,164,144,195,377,241,287,382,313,264,4331,5890,6552,2313,2391,3600,6001,3413,4302,7095,4008,3665
172,173.0,HARYANA,FATEHABAD,48365,48362,31020,9,17333,36017,63623,36014,63611,13403,31643,52239,319,68,9794,252575,21844,621043,5,113,88,482545,873731,255,0,2393,593,2394,593,799900,1833,92085,88582,3503,245548591,0,0,0,0,50286,116266,130835,118931,109535,88380,65577,59923,102093,31700,210,779643,,,,,,618,12708,13530,5335,11988,15069,9213,2345,3102,11559,14964,14409,969,20994,22167,8345,19130,24731,15332,3437,5129,18427,24216,23234,440,10531,9817,3701,9325,11754,6467,1667,2504,9195,11289,11631,4534,103166,93774,27806,83225,124431,61274,15951,24020,89308,128401,117846
173,174.0,HARYANA,GURUGRAM,9652,9565,4890,2,4673,1299,1587,1299,1587,602,1261,1533,8,0,572,19880,689,26121,0,0,32,21447,46001,4,0,145,92,145,92,634,265,10699,10400,299,14147036,0,0,0,0,1189,3463,5579,4319,6483,4319,5400,4052,10397,800,0,43699,,,,,,164,409,575,567,417,261,154,111,129,243,325,196,178,462,681,717,518,296,174,124,151,260,389,219,163,363,556,547,385,163,154,107,129,231,317,193,3254,5091,7680,8847,4720,2443,2157,1190,1439,2408,4239,2533
174,175.0,HARYANA,HISAR,92184,92165,45722,10,46433,58318,106511,58247,106401,36831,47975,78649,262,85,20645,617400,27326,901313,4,98,100,742269,1518811,139,0,3955,1166,3956,1184,554911,5986,118974,102991,15983,387225097,330,173,157,24346,66232,146028,188480,199913,200972,172603,149439,131778,237125,24500,1741,1400890,,,,,,10715,22150,21898,17438,24080,23576,22004,13811,17139,15483,21830,18402,17761,37544,35468,27907,38726,38156,34224,20703,26460,23831,33075,27979,6949,16065,15432,11263,15676,15828,13491,8847,12622,10997,14325,11397,69776,180504,155884,101468,156929,159545,132000,82999,131432,96836,145816,105622
175,176.0,HARYANA,JHAJJAR,47131,47030,17898,21,29111,9904,13642,9891,13623,3071,8804,11680,26,0,4734,138488,4056,102263,14,179,18,93029,240930,6,0,620,216,624,218,229081,929,44287,39501,4786,60343073,1277,777,500,0,13618,30228,40967,20377,25713,30458,16808,11398,48734,2300,329,206694,,,,,,228,577,1955,2772,3442,1405,1133,822,1617,2373,1766,1252,278,918,2855,3954,4158,1762,1554,1033,2066,3077,2293,1582,215,446,1577,2100,2948,1224,1017,664,1421,2151,1544,1099,2749,7563,24598,37740,24826,19209,14628,9674,21775,36810,24481,16877
176,177.0,HARYANA,JIND,45975,45975,23502,0,22473,21350,31037,21347,31033,4786,18298,25093,84,23,7933,244231,10365,304275,0,0,42,222979,548506,41,0,1354,318,1355,319,5224,2543,62652,55970,6682,130409057,0,0,0,0,27459,61672,69890,75441,64579,57002,49861,42217,91909,6700,1776,496574,,,,,,1463,6639,12789,7044,5542,5150,6210,2592,6745,4622,4895,4385,1999,8543,17093,9089,7121,6323,7790,3171,8338,5675,6116,5378,753,4587,10055,4980,4099,4118,4530,2051,5029,3379,3744,3261,8633,45206,123909,53861,40037,46620,48545,19770,63409,30592,35786,32138
